trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
doggystyle,doggystyle,stomach,stomach,body_detail,244,13200,38586,200039,0.018485,0.006324,0.09583,-3.383381,0.011523,nsfw,explicit_nsfw,人物,腹部,danbooru_all.csv,2546.179495,2081.561978
ass grab,ass_grab,navel,navel,body_detail,1051,8008,97400,200039,0.131244,0.010791,0.269547,-1.891392,0.107039,suggestive,suggestive,人物,腹部,weilin_tagcart.csv,3899.135669,2080.429479
completely nude,completely_nude,skirt lift,skirt_lift,clothing,37,57225,7468,200039,0.000647,0.004954,0.017319,-5.851489,0.001448,nsfw,nudity_nsfw,表情动作,手部动作,weilin_tagcart.csv,2136.364909,2063.005717
skirt lift,skirt_lift,completely nude,completely_nude,other,37,7468,57225,200039,0.004954,0.000647,0.017319,-5.851489,0.001448,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,2136.364909,2063.005717
completely nude,completely_nude,frills,frills,clothing,128,57225,8069,200039,0.002237,0.015863,0.055452,-4.17261,0.005933,nsfw,nudity_nsfw,服饰,衣服装饰,danbooru_all.csv,2308.292508,2059.390395
girl on top,girl_on_top,bed sheet,bed_sheet,scene,361,22995,23749,200039,0.015699,0.015201,0.132234,-2.918835,0.016988,nsfw,explicit_nsfw,场景,床上用品,weilin_tagcart.csv,2730.008923,2055.745397
anus,anus,standing,standing,pose_action,1318,33352,25701,200039,0.039518,0.051282,0.30758,-1.700966,0.048032,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,4285.063173,2054.453696
completely nude,completely_nude,detached sleeves,detached_sleeves,clothing,124,57225,7989,200039,0.002167,0.015521,0.054257,-4.204039,0.005771,nsfw,nudity_nsfw,服饰,手臂,weilin_tagcart.csv,2285.406971,2044.134875
breasts out,breasts_out,stomach,stomach,body_detail,845,18295,38586,200039,0.046187,0.021899,0.239447,-2.062222,0.035103,nsfw,nudity_nsfw,人物,腹部,danbooru_all.csv,3528.966202,2041.298828
cum in mouth,cum_in_mouth,closed mouth,closed_mouth,expression,121,8594,52693,200039,0.01408,0.002296,0.05345,-4.225653,0.005658,nsfw,explicit_nsfw,人物,嘴巴,weilin_tagcart.csv,2263.776774,2028.244284
penis,penis,holding,holding,pose_action,1022,84272,9002,200039,0.012127,0.11353,0.26949,-1.891694,0.040608,nsfw,explicit_nsfw,表情动作,手部动作(拿着某物),weilin_tagcart.csv,3792.343213,2023.762378
sex,sex,spread pussy,spread_pussy,body_detail,232,73101,6736,200039,0.003174,0.034442,0.094249,-3.407377,0.011234,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2461.561675,2019.427469
spread pussy,spread_pussy,sex,sex,pose_action,232,6736,73101,200039,0.034442,0.003174,0.094249,-3.407377,0.011234,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2461.561675,2019.427469
completely nude,completely_nude,bowtie,bowtie,clothing,191,57225,8327,200039,0.003338,0.022937,0.080181,-3.640588,0.009234,nsfw,nudity_nsfw,服饰,领口,weilin_tagcart.csv,2382.098366,2015.413015
ass grab,ass_grab,spread legs,spread_legs,pose_action,208,8008,60233,200039,0.025974,0.003453,0.086262,-3.535131,0.010086,suggestive,suggestive,表情动作,腿部动作,weilin_tagcart.csv,2411.259124,2013.201617
spread legs,spread_legs,ass grab,ass_grab,body_detail,208,60233,8008,200039,0.003453,0.025974,0.086262,-3.535131,0.010086,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2411.259124,2013.201617
nude,nude,black skirt,black_skirt,clothing,1220,101769,8034,200039,0.011988,0.151855,0.298488,-1.744254,0.046115,nsfw,nudity_nsfw,服饰,裙子,danbooru_all.csv,4087.263714,2011.419321
cumdrip,cumdrip,sex,sex,pose_action,1590,12681,73101,200039,0.125384,0.021751,0.343111,-1.543252,0.137844,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,4634.065262,1999.612176
sex,sex,cumdrip,cumdrip,other,1590,73101,12681,200039,0.021751,0.125384,0.343111,-1.543252,0.054968,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,4634.065262,1999.612176
pussy juice,pussy_juice,upper body,upper_body,camera,0,26338,15184,200039,0,0,0,0,0,nsfw,explicit_nsfw,镜头,镜头,weilin_tagcart.csv,1999.191118,1999.191118
